Vivado Simulator 2019.2
Time resolution is 1 ps
Error en operacion 100010 en tiempo                  108 ns
a = 00001010, b = 11101111, op = 100010, out = 01100100                 108
Error en operacion 100010 en tiempo                  108 ns
a = 00001010, b = 11101111, op = 100010, out = 01100000                 108
Error en operacion 100010 en tiempo                  108 ns
a = 00001010, b = 11101111, op = 100010, out = 00010000                 108
a = 00101000, b = 11011100, op = 111111, out = 00010000                 108
Error en operacion 111111 en tiempo                  108 ns
a = 00101000, b = 11011100, op = 111111, out = 00010100                 108
Error en operacion 111111 en tiempo                  108 ns
a = 00101000, b = 11011100, op = 111111, out = 01000100                 108
Error en operacion 111111 en tiempo                  108 ns
a = 00101000, b = 11011100, op = 111111, out = 01000101                 108
Error en operacion 111111 en tiempo                  108 ns
a = 00101000, b = 11011100, op = 111111, out = 01010101                 108
Error en operacion 111111 en tiempo                  108 ns
a = 00101000, b = 11011100, op = 111111, out = 01000101                 108
Error en operacion 111111 en tiempo                  108 ns
a = 00101000, b = 11011100, op = 111111, out = 01100101                 108
Error en operacion 111111 en tiempo                  108 ns
a = 00101000, b = 11011100, op = 111111, out = 01100111                 108
Error en operacion 111111 en tiempo                  108 ns
a = 00101000, b = 11011100, op = 111111, out = 01100011                 108
Error en operacion 111111 en tiempo                  108 ns
a = 00101000, b = 11011100, op = 111111, out = 00100011                 108
Error en operacion 111111 en tiempo                  109 ns
a = 00101000, b = 11011100, op = 111111, out = 00110011                 109
Error en operacion 111111 en tiempo                  109 ns
a = 00101000, b = 11011100, op = 111111, out = 00010011                 109
Error en operacion 111111 en tiempo                  109 ns
a = 00101000, b = 11011100, op = 111111, out = 00011011                 109
Error en operacion 111111 en tiempo                  116 ns
a = 00101000, b = 11011100, op = 111111, out = 00011010                 116
Error en operacion 111111 en tiempo                  116 ns
a = 00101000, b = 11011100, op = 111111, out = 01011010                 116
a = 00101000, b = 11011100, op = 111111, out = 00000000                 116
a = 00001000, b = 11110111, op = 100000, out = 00000000                 116
Error en operacion 100000 en tiempo                  124 ns
a = 00001000, b = 11110111, op = 100000, out = 00001010                 124
a = 00010100, b = 11110111, op = 111111, out = 00001010                 124
Error en operacion 111111 en tiempo                  124 ns
